Pizza		
Végétarienne	tomates fraîches, tapenade d'olive, tomates séchée, oignons rouges, câpres, mozzarella. En sortie du four : salade, avocat, crème de vinaigre balsamique	9
Jambon Mozza	Blanc de volaille, base mozzarella, parmesan, tomates fraiches. En sortie du four : salade, avocat, crème de vinaigre balsamique, dés de tomates fraîches câpres, olives noires, sauce Caesar	10
Trois fromage 	Mozzarella, chèvre, gorgonzolla, tomates fraiches, sauce tomate	10
Régina	Jambon cuit, champignons de Paris frais, mozzarella, sauce tomate	11
Margherita	Fromage mozzarella, sauce tomate, olive, origan 	12
Vésuvio	Chorizo, poivrons frais, oignons, oeuf, mozzarella, sauce tomate 	11
Merguez	Merguez boeuf et mouton, oignons rouges, dés de tomates, câpres, oeuf cuit minute, sauce tomate 	11
Dessert		
Café gourmand Gaufre	café, décaféiné ou thé, Gauffre ou moelleux au chocolat, sauce chocolat, chantilly, pana cotta, coulis de framboise	5
Moelleux au chocolat 	Moelleux au chocolat, amande grillées, tout juste sorti du four pour les amoureux de chocolat au choix : Sauce chocolat noir & Tiramisu ou Coulis de framboise & glace vanille	7
Croustit poire caramel 	Mini-pizza minute, crème d'amande, poire caramellisée, galce vanille sauce chocolat 	7
Mousse choco 	Chocolat noir fondant allégé aux blanc d'oeufs	6.5
Glaces		
Coupe Antillaise	Rhum-raisin (3boules), rhum (3cl)	3
colonel ittalien	Citron (3 boules), Grappa piave(3cl) 	3.2
Fresca coulis de framboise	Sorbets : citron, framboise, fruits de la passion, coulis de framboise 	4.5
